column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,4.76
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,4.76
IndicatorType,4.76
CharacteristicId,4.76
CharacteristicOrder,4.76
CharacteristicCategory,4.76
CharacteristicLabel,4.76
ByVariableId,0.0
ByVariableLabel,95.24
IsTotal,4.76
IsPreferred,4.76
SDRID,4.76
RegionId,100.0
SurveyYearLabel,4.76
SurveyType,4.76
DenominatorWeighted,14.29
DenominatorUnweighted,14.29
CILow,100.0
CIHigh,100.0
LevelRank,100.0
